Date,Open,High,Low,Close,Adj Close,Volume
2002-08-08,20.950001,21.400000,20.000000,20.684999,9.171133,1019920
2002-08-09,20.700001,21.090000,20.700001,21.000000,9.310795,390940
2002-08-12,21.000000,21.090000,20.825001,20.980000,9.301928,278560
2002-08-13,21.000000,21.200001,20.900000,21.115000,9.361785,444560
2002-08-14,20.950001,20.950001,20.770000,20.855000,9.246508,100780
2002-08-16,20.915001,21.180000,20.809999,21.059999,9.337398,219550
2002-08-19,21.014999,21.200001,20.950001,21.129999,9.368432,106930
2002-08-20,21.000000,21.200001,20.955000,21.195000,9.397250,251980
2002-08-21,21.004999,21.049999,20.805000,20.945000,9.286409,934420
2002-08-22,20.900000,20.990000,20.709999,20.900000,9.266458,288220
2002-08-23,20.820000,20.955000,20.809999,20.924999,9.277540,449800
2002-08-26,20.934999,21.150000,20.799999,21.115000,9.361785,135520
2002-08-27,21.004999,21.014999,20.885000,20.990000,9.306361,77020
2002-08-28,20.860001,21.100000,20.860001,20.980000,9.301928,52790
2002-08-29,20.905001,21.070000,20.860001,21.035000,9.326315,56830
2002-08-30,20.930000,21.100000,20.865000,20.965000,9.295278,113050
2002-09-02,21.084999,21.125000,20.965000,21.000000,9.310795,83900
2002-09-03,20.875000,21.010000,20.870001,20.995001,9.308578,119750
2002-09-04,21.094999,21.389999,20.900000,21.360001,9.470408,141770
2002-09-05,21.590000,21.590000,21.035000,21.215000,9.406119,128840
2002-09-06,21.200001,21.299999,21.000000,21.090000,9.350698,110720
2002-09-09,21.070000,21.070000,20.850000,20.965000,9.295278,71640
2002-09-11,20.805000,21.290001,20.805000,21.260000,9.426072,138100
2002-09-12,21.290001,21.445000,21.275000,21.309999,9.448239,93380
2002-09-13,21.150000,21.485001,21.150000,21.440001,9.505877,155160
2002-09-16,21.200001,21.590000,21.200001,21.430000,9.501445,82980
2002-09-17,21.309999,22.350000,21.309999,22.209999,9.847273,403790
2002-09-18,22.004999,22.600000,22.000000,22.410000,9.935948,332100
2002-09-19,22.209999,22.295000,22.000000,22.004999,9.756383,109060
2002-09-20,21.900000,22.094999,21.900000,22.025000,9.765252,85710
2002-09-23,22.025000,22.075001,21.900000,22.000000,9.754167,893800
2002-09-24,21.700001,21.879999,21.430000,21.705000,9.623371,168780
2002-09-25,21.485001,21.485001,20.965000,20.985001,9.304144,380910
2002-09-26,21.200001,21.285000,20.875000,20.900000,9.266458,39670
2002-09-27,21.010000,22.400000,20.969999,22.115000,9.805154,2357870
2002-09-30,21.924999,21.995001,21.150000,21.895000,9.707611,625290
2002-10-01,21.600000,21.650000,21.100000,21.165001,9.383951,415880
2002-10-03,21.459999,21.459999,20.770000,20.969999,9.297494,744700
2002-10-04,20.950001,21.094999,20.750000,20.995001,9.308578,659050
2002-10-07,21.000000,21.000000,20.825001,20.885000,9.259807,508810
2002-10-08,20.850000,20.990000,20.799999,20.945000,9.286409,436550
2002-10-09,20.950001,21.100000,20.775000,20.875000,9.255376,768280
2002-10-10,20.820000,20.820000,20.525000,20.650000,9.155616,1014100
2002-10-11,20.700001,20.844999,20.610001,20.670000,9.164483,173280
2002-10-14,20.700001,20.900000,20.700001,20.799999,9.222120,3111080
2002-10-16,20.799999,20.920000,20.350000,20.424999,9.055854,801040
2002-10-17,20.795000,20.799999,19.900000,19.965000,8.851907,3819890
2002-10-18,20.195000,20.245001,19.410000,19.514999,8.652389,704030
2002-10-21,19.615000,19.895000,19.600000,19.764999,8.763231,3698510
2002-10-22,19.850000,19.900000,19.525000,19.594999,8.687858,606280
2002-10-23,19.700001,19.700001,19.400000,19.530001,8.659039,744820
2002-10-24,19.450001,19.594999,19.309999,19.455000,8.625787,634630
2002-10-25,19.450001,19.495001,19.000000,19.250000,8.534895,779960
2002-10-28,19.400000,19.575001,19.320000,19.355000,8.581450,507800
2002-10-29,19.500000,19.680000,19.410000,19.475000,8.634653,1355280
2002-10-30,19.350000,19.400000,18.700001,18.985001,8.417402,735600
2002-10-31,19.100000,19.230000,18.950001,19.004999,8.426270,382930
2002-11-01,19.010000,19.275000,18.850000,19.014999,8.430703,1885830
2002-11-04,19.895000,19.900000,19.105000,19.309999,8.561498,76200
2002-11-05,19.250000,19.490000,19.049999,19.434999,8.616918,157790
2002-11-07,19.100000,19.590000,19.100000,19.504999,8.647954,232190
2002-11-08,19.495001,19.600000,19.455000,19.549999,8.667907,201280
2002-11-11,19.795000,19.795000,19.415001,19.620001,8.698942,161010
2002-11-12,19.549999,19.809999,19.500000,19.745001,8.754362,58100
